n_llama,n_yolos,n_bart,llama32_avg_ms,yolos_avg_ms,bart_avg_ms,Llama contention,Yolos contention,Bart contention
0,0,1,,,0.9403,0,0,0
0,0,2,,,0.9337,0,0,0
0,0,3,,,0.9308,0,0,0
0,0,4,,,0.9353,0,0,0
0,0,5,,,0.9353,0,0,0
0,1,0,,5.4433,,0,0,0
0,1,1,,6.3862,0.9622,0,0.9429,0.0219
0,1,2,,7.4097,0.9494,0,1.9664,0.0091
0,1,3,,8.4583,0.9411,0,3.0150,0.0008
0,1,4,,9.4707,0.9318,0,4.0274,0.0000
0,1,5,,10.5927,0.9340,0,5.1494,0.0000
0,2,0,,11.3670,,0,5.9237,0.0000
0,2,1,,12.4253,0.9746,0,6.9820,0.0343
0,2,2,,13.5395,0.9713,0,8.0962,0.0310
0,2,3,,14.6164,0.9623,0,9.1731,0.0220
0,2,4,,15.5554,0.9551,0,10.1121,0.0148
0,2,5,,16.6321,0.9529,0,11.1888,0.0126
0,3,0,,17.4182,,0,11.9749,0.0000
0,3,1,,18.4908,0.9944,0,13.0475,0.0541
0,3,2,,19.5283,0.9881,0,14.0850,0.0478
0,3,3,,20.5703,0.9799,0,15.1270,0.0396
0,3,4,,21.6065,0.9703,0,16.1632,0.0300
0,3,5,,22.6842,0.9673,0,17.2409,0.0270
0,4,0,,23.3891,,0,17.9458,0.0000
0,4,1,,24.4954,0.9990,0,19.0521,0.0587
0,4,2,,25.5744,0.9911,0,20.1311,0.0508
0,4,3,,26.6262,0.9856,0,21.1829,0.0453
0,4,4,,27.6462,0.9811,0,22.2029,0.0408
0,4,5,,28.7365,0.9792,0,23.2932,0.0389
0,5,0,,29.5580,,0,24.1147,0.0000
0,5,1,,30.5874,0.9983,0,25.1441,0.0580
0,5,2,,31.6570,0.9922,0,26.2137,0.0519
0,5,3,,32.7207,0.9910,0,27.2774,0.0507
0,5,4,,33.8201,0.9876,0,28.3768,0.0473
0,5,5,,34.8426,0.9830,0,29.3993,0.0427
1,0,0,4.3128,,,0,0.0000,0.0000
1,0,1,5.0119,,0.9391,0.6991,0.0000,0.0000
1,0,2,5.5734,,0.9371,1.2606,0.0000,0.0000
1,0,3,6.1144,,0.9362,1.8016,0.0000,0.0000
1,0,4,6.6642,,0.9400,2.3514,0.0000,0.0000
1,0,5,7.1964,,0.9366,2.8836,0.0000,0.0000
1,1,0,9.1070,9.9913,,4.7942,4.5480,0.0000
1,1,1,9.6455,11.0903,0.9538,5.3327,5.6470,0.0135
1,1,2,9.7104,12.1583,0.9424,5.3976,6.7150,0.0021
1,1,3,9.6079,12.4448,0.9471,5.2951,7.0015,0.0068
1,1,4,10.1383,13.5336,0.9415,5.8255,8.0903,0.0012
1,1,5,10.6934,14.6587,0.9431,6.3806,9.2154,0.0028
1,2,0,10.5514,14.9707,,6.2386,9.5274,0.0000
1,2,1,11.0599,16.0095,0.9770,6.7471,10.5662,0.0367
1,2,2,11.5934,17.0794,0.9696,7.2806,11.6361,0.0293
1,2,3,12.1221,18.1659,0.9626,7.8093,12.7226,0.0223
1,2,4,12.6689,19.2405,0.9575,8.3561,13.7972,0.0172
1,2,5,13.1960,20.3062,0.9558,8.8832,14.8629,0.0155
1,3,0,13.5753,20.9088,,9.2625,15.4655,0.0000
1,3,1,14.1254,22.0022,0.9874,9.8126,16.5589,0.0471
1,3,2,14.6280,23.0257,0.9813,10.3152,17.5824,0.0410
1,3,3,15.1467,24.0629,0.9742,10.8339,18.6196,0.0339
1,3,4,15.7148,25.2126,0.9712,11.4020,19.7693,0.0309
1,3,5,16.2613,26.3122,0.9683,11.9485,20.8689,0.0280
1,4,0,16.6521,26.8940,,12.3393,21.4507,0.0000
1,4,1,17.2120,28.0306,0.9937,12.8992,22.5873,0.0534
1,4,2,17.7531,29.1104,0.9870,13.4403,23.6671,0.0467
1,4,3,18.2539,30.1562,0.9843,13.9411,24.7129,0.0440
1,4,4,18.7868,31.1754,0.9797,14.4740,25.7321,0.0394
1,4,5,19.2998,32.2554,0.9756,14.9870,26.8121,0.0353
1,5,0,19.7057,32.9764,,15.3929,27.5331,0.0000
1,5,1,20.2572,34.0534,0.9969,15.9444,28.6101,0.0566
1,5,2,20.7926,35.1844,0.9899,16.4798,29.7411,0.0496
1,5,3,21.3395,36.2525,0.9839,17.0267,30.8092,0.0436
1,5,4,21.8689,37.3066,0.9824,17.5561,31.8633,0.0421
1,5,5,22.4064,38.3969,0.9811,18.0936,32.9536,0.0408
2,0,0,8.1171,,,3.8043,0,0
2,0,1,7.5884,,0.9354,3.2756,0,0
2,0,2,8.1398,,0.9367,3.8270,0,0
2,0,3,8.6818,,0.9380,4.3690,0,0
2,0,4,9.2337,,0.9430,4.9209,0,0.0027
2,0,5,10.8168,,0.9381,6.5040,0,0
2,1,0,12.5843,14.7796,,8.2715,9.3363,0
2,1,1,11.7083,14.2905,0.9565,7.3955,8.8472,0.0162
2,1,2,11.3793,15.3298,0.9497,7.0665,9.8865,0.0094
2,1,3,12.7965,16.4464,0.9451,8.4837,11.0031,0.0048
2,1,4,13.3378,17.5270,0.9429,9.0250,12.0837,0.0026
2,1,5,13.3553,18.6949,0.9447,9.0425,13.2516,0.0044
2,2,0,13.4694,18.4045,,9.1566,12.9612,0
2,2,1,14.0325,19.5129,0.9759,9.7197,14.0696,0.0356
2,2,2,14.5692,20.5962,0.9644,10.2564,15.1529,0.0241
2,2,3,14.5738,21.6570,0.9610,10.2610,16.2137,0.0207
2,2,4,15.6302,22.7770,0.9557,11.3174,17.3337,0.0154
2,2,5,16.7229,23.8952,0.9532,12.4101,18.4519,0.0129
2,3,0,17.0929,24.4417,,12.7801,18.9984,0
2,3,1,17.0657,25.4550,0.9789,12.7529,20.0117,0.0386
2,3,2,17.6040,26.5445,0.9705,13.2912,21.1012,0.0302
2,3,3,18.1157,27.5997,0.9671,13.8029,22.1564,0.0268
2,3,4,19.2283,28.7700,0.9675,14.9155,23.3267,0.0272
2,3,5,19.2513,29.8627,0.9659,14.9385,24.4194,0.0256
2,4,0,20.1598,30.4291,,15.8470,24.9858,0.0000
2,4,1,20.1528,31.5026,0.9883,15.8400,26.0593,0.0480
2,4,2,20.1357,32.5329,0.9808,15.8229,27.0896,0.0405
2,4,3,20.6576,33.6048,0.9775,16.3448,28.1615,0.0372
2,4,4,22.2080,34.6050,0.9733,17.8952,29.1617,0.0330
2,4,5,22.2560,35.7528,0.9716,17.9432,30.3095,0.0313
2,5,0,22.6691,36.4545,,18.3563,31.0112,0.0000
2,5,1,23.1769,37.5400,0.9921,18.8641,32.0967,0.0518
2,5,2,24.2838,38.6255,0.9868,19.9710,33.1822,0.0465
2,5,3,24.2610,39.7200,0.9854,19.9482,34.2767,0.0451
2,5,4,24.8283,40.7736,0.9800,20.5155,35.3303,0.0397
2,5,5,25.9014,41.7393,0.9785,21.5886,36.2960,0.0382
3,0,0,11.5942,,,7.2814,0,0
3,0,1,10.7067,,0.9408,6.3939,0,0.0005
3,0,2,11.2384,,0.9401,6.9256,0,0
3,0,3,10.3612,,0.9393,6.0484,0,0
3,0,4,12.3534,,0.9430,8.0406,0,0.0027
3,0,5,12.8892,,0.9413,8.5764,0,0.0010
3,1,0,15.7448,19.3294,,11.4320,13.8861,0
3,1,1,14.7249,18.2582,0.9536,10.4121,12.8149,0.0133
